run_id,start_at,end_at,end_state,wall_clock_hours,task_count,unique_task_ids,retry_count,stitch_count,measure_count,total_cost_usd,total_tokens_input,total_tokens_output,total_tokens_cache_creation,total_tokens_cache_read,total_loc_prod_delta,total_loc_test_delta,total_duration_s,zero_loc_count,zero_loc_cost_usd,unique_targets
gh-1400-run34,2026-03-15T18:39:41+00:00,2026-03-17T02:37:21+00:00,finished,31.96,206,191,15,206,0,247.22849999999997,223344410,1968722,14948742,208343454,16324,22489,38382,11,6.4339,47
gh-2607-run35,2026-03-17T05:17:46+00:00,2026-03-17T12:11:58+00:00,merged,6.9,5,4,1,5,0,4.1159,2679127,35098,330211,2348873,328,229,702,1,0.4842,1
gh-2626-run36,2026-03-18T02:02:02+00:00,2026-03-18T02:30:18+00:00,in_progress,0.47,12,11,1,12,0,8.414299999999999,5589215,56375,732135,4856985,1016,0,1052,1,0.4532,3
2026-03-17-21-32-26,2026-03-18T02:30:18+00:00,2026-03-18T04:15:02+00:00,in_progress,1.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
gh-2626-run37,2026-03-18T04:15:02+00:00,2026-03-21T14:15:55+00:00,finished,82.01,288,279,9,288,0,349.00020000000006,236049959,3996526,22611496,213367433,25923,26107,69206,10,5.284999999999999,72
gh-2626-run38,2026-03-23T13:17:34+00:00,2026-03-27T18:49:36+00:00,finished,101.53,310,302,8,310,0,382.3723,261514960,4188248,25352449,236120480,45789,27859,71932,9,6.1457999999999995,111
gh-3652-run40,2026-03-28T20:34:10+00:00,2026-03-29T01:00:44+00:00,merged,4.44,4,4,0,4,0,2.8974999999999995,2024004,20688,237939,1786031,271,46,421,0,0.0,2
gh-3652-run40b,2026-03-29T01:01:16+00:00,2026-04-05T13:10:09+00:00,in_progress,180.15,425,416,9,425,0,509.4583,360911133,5447474,33182362,327713614,41341,35592,94400,12,7.440499999999999,113
gh-4209-run41,2026-04-05T13:10:09+00:00,2026-04-06T23:08:55+00:00,in_progress,33.98,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
gh-4209-run42,2026-04-06T23:08:55+00:00,2026-04-12T02:07:45+00:00,in_progress,122.98,445,433,12,445,0,525.4478,363498648,5529850,35137545,328346424,44350,31043,102775,23,15.210399999999998,113
gh-4994-run43,2026-04-12T02:07:45+00:00,2026-05-13T21:22:49+00:00,in_progress,763.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
run44,2026-05-13T21:22:49+00:00,2026-05-30T17:06:52+00:00,in_progress,403.73,412,412,0,411,0,997.1875999999999,366677021,6172493,88395472,278257144,32975,25278,142885,13,26.065700000000003,113
