task_id,task_id_kind,invocation_count,status_history,successful_invocations,productive_invocations,total_cost_usd,wasted_cost_usd,total_duration_s,total_num_turns,first_started_at,last_started_at,span_hours
362,numeric,1,success,1,0,0.433906,0.433906,33,0,2026-03-06T19:08:35Z,2026-03-06T19:08:35Z,0.0
363,numeric,1,success,1,0,0.434393,0.434393,36,0,2026-03-06T19:10:41Z,2026-03-06T19:10:41Z,0.0
364,numeric,1,success,1,0,0.740894,0.740894,116,0,2026-03-06T19:12:56Z,2026-03-06T19:12:56Z,0.0
365,numeric,1,success,1,1,1.68926,0.0,238,0,2026-03-06T19:19:59Z,2026-03-06T19:19:59Z,0.0
366,numeric,1,success,1,0,0.629013,0.629013,62,0,2026-03-06T19:25:53Z,2026-03-06T19:25:53Z,0.0
367,numeric,1,success,1,0,0.536249,0.536249,47,0,2026-03-06T19:28:18Z,2026-03-06T19:28:18Z,0.0
368,numeric,1,success,1,0,0.937003,0.937003,109,0,2026-03-06T19:30:34Z,2026-03-06T19:30:34Z,0.0
369,numeric,1,success,1,0,0.473427,0.473427,41,0,2026-03-06T19:33:44Z,2026-03-06T19:33:44Z,0.0
370,numeric,1,success,1,0,0.485129,0.485129,43,0,2026-03-06T19:36:09Z,2026-03-06T19:36:09Z,0.0
371,numeric,1,success,1,0,0.791841,0.791841,89,0,2026-03-06T19:40:07Z,2026-03-06T19:40:07Z,0.0
372,numeric,1,success,1,0,0.668434,0.668434,71,0,2026-03-06T19:42:55Z,2026-03-06T19:42:55Z,0.0
373,numeric,1,success,1,0,0.431069,0.431069,40,0,2026-03-06T19:45:42Z,2026-03-06T19:45:42Z,0.0
374,numeric,1,success,1,0,0.40133,0.40133,22,0,2026-03-06T19:48:07Z,2026-03-06T19:48:07Z,0.0
375,numeric,1,success,1,1,0.942442,0.0,164,0,2026-03-06T19:49:54Z,2026-03-06T19:49:54Z,0.0
387,numeric,1,success,1,1,2.142965,0.0,571,36,2026-03-07T00:04:13Z,2026-03-07T00:04:13Z,0.0
388,numeric,1,success,1,0,0.506357,0.506357,47,19,2026-03-07T00:15:22Z,2026-03-07T00:15:22Z,0.0
389,numeric,1,success,1,1,1.002125,0.0,178,31,2026-03-07T00:18:24Z,2026-03-07T00:18:24Z,0.0
390,numeric,1,success,1,0,1.355089,1.355089,443,21,2026-03-07T00:22:56Z,2026-03-07T00:22:56Z,0.0
391,numeric,1,success,1,0,0.480643,0.480643,57,17,2026-03-07T00:31:58Z,2026-03-07T00:31:58Z,0.0
392,numeric,1,success,1,0,0.532107,0.532107,74,17,2026-03-07T00:35:33Z,2026-03-07T00:35:33Z,0.0
393,numeric,1,success,1,1,0.723877,0.0,116,27,2026-03-07T00:38:35Z,2026-03-07T00:38:35Z,0.0
394,numeric,1,success,1,0,0.552581,0.552581,71,19,2026-03-07T00:42:31Z,2026-03-07T00:42:31Z,0.0
395,numeric,1,success,1,1,0.833651,0.0,144,25,2026-03-07T00:45:43Z,2026-03-07T00:45:43Z,0.0
396,numeric,1,success,1,1,1.091128,0.0,316,19,2026-03-07T00:50:04Z,2026-03-07T00:50:04Z,0.0
397,numeric,1,success,1,0,0.535001,0.535001,49,15,2026-03-07T00:56:45Z,2026-03-07T00:56:45Z,0.0
4998,numeric,1,success,1,1,0.627438,0.0,68,10,2026-04-19T15:26:39Z,2026-04-19T15:26:39Z,0.0
4999,numeric,1,success,1,1,0.893182,0.0,180,10,2026-04-19T15:28:05Z,2026-04-19T15:28:05Z,0.0
5000,numeric,1,success,1,1,0.748298,0.0,125,10,2026-04-19T15:31:21Z,2026-04-19T15:31:21Z,0.0
5001,numeric,1,success,1,1,0.747674,0.0,80,11,2026-04-19T15:33:40Z,2026-04-19T15:33:40Z,0.0
5003,numeric,1,success,1,1,0.761742,0.0,101,16,2026-04-19T15:37:34Z,2026-04-19T15:37:34Z,0.0
5004,numeric,1,success,1,1,0.764845,0.0,106,13,2026-04-19T15:39:28Z,2026-04-19T15:39:28Z,0.0
5005,numeric,1,success,1,0,0.598546,0.598546,92,7,2026-04-19T15:41:29Z,2026-04-19T15:41:29Z,0.0
5006,numeric,1,success,1,1,0.641263,0.0,44,11,2026-04-19T15:43:15Z,2026-04-19T15:43:15Z,0.0
5008,numeric,2,failed;success,1,1,0.772774,0.0,320,25,2026-04-19T15:47:59Z,2026-04-19T16:09:08Z,0.35
5009,numeric,1,success,1,1,0.77796,0.0,96,14,2026-04-19T16:13:16Z,2026-04-19T16:13:16Z,0.0
